Names	total	elements
		F1-Bulk-2_k25_TRINITY_DN7264_c0_g2_i8.gen
		CP74-2005_k25_TRINITY_DN8690_c0_g4_i1.gen
		GT96-167_k31_TRINITY_DN26277_c0_g2_i5.gen
		TUC717_k25_TRINITY_DN6856_c0_g1_i4.gen
		GUC2_k25_TRINITY_DN16284_c0_g1_i1.gen
		QA02-1009_k25_TRINITY_DN12240_c0_g1_i2.gen
		KQB09-20620_k25_TRINITY_DN6532_c0_g1_i3.gen
		ROC20_k31_TRINITY_DN9974_c0_g2_i3.gen
		QN05-1460_k31_TRINITY_DN1361_c0_g1_i10.gen
		QN05-1509_k31_TRINITY_DN815_c0_g1_i5.gen
		RB855156_k25_TRINITY_DN3885_c0_g1_i14.gen
		ROC22_k31_TRINITY_DN10253_c1_g1_i4.gen
		FN95-1702_k31_TRINITY_DN39579_c0_g1_i2.gen
		MT11-610_k25_TRINITY_DN13681_c0_g1_i4.gen
		ROC22_k25_TRINITY_DN6298_c0_g1_i8.gen
		KQB08-32953_k25_TRINITY_DN1190_c0_g1_i3.gen
		MT11-610_k25_TRINITY_DN17203_c1_g2_i2.gen
		QN05-803_k31_TRINITY_DN5718_c0_g2_i10.gen
		MS6847_k31_TRINITY_DN6930_c0_g1_i5.gen
		B2_k25_TRINITY_DN2644_c1_g2_i7.gen
		QC02-402_k31_TRINITY_DN2222_c0_g1_i10.gen
		QA96-1749_k25_TRINITY_DN19995_c0_g1_i17.gen
		QN05-1460_k25_TRINITY_DN96952_c0_g1_i1.gen
		QA02-1009_k31_TRINITY_DN2022_c0_g2_i13.gen
		MT11-610_k25_TRINITY_DN59888_c0_g1_i2.gen
		F1-Bulk-1_k25_TRINITY_DN5104_c0_g1_i11.gen
		QA02-1009_k31_TRINITY_DN2435_c0_g2_i10.gen
		F1-Bulk-2_k25_TRINITY_DN11181_c0_g1_i3.gen
		ROC22_k31_TRINITY_DN293619_c0_g1_i1.gen
		B1_k25_TRINITY_DN15662_c0_g2_i1.gen
		ROC22_k31_TRINITY_DN15331_c0_g1_i1.gen
		KQB07-24619_k25_TRINITY_DN3115_c0_g1_i1.gen
		KQB09-20620_k31_TRINITY_DN3386_c0_g2_i12.gen
		CP74-2005_k31_TRINITY_DN19433_c0_g2_i5.gen
		QC02-402_k31_TRINITY_DN3457_c0_g1_i1.gen
		F1-Bulk-1_k31_TRINITY_DN11506_c0_g1_i5.gen
		KQB07-24619_k31_TRINITY_DN2044_c0_g1_i6.gen
		GN18_k25_TRINITY_DN9935_c0_g1_i2.gen
		QN05-1743_k25_TRINITY_DN5633_c0_g1_i6.gen
		ROC22_k31_TRINITY_DN5434_c0_g1_i1.gen
		QN05-1509_k31_TRINITY_DN793_c0_g1_i8.gen
		CoV92102_k25_TRINITY_DN2210_c0_g1_i10.gen
		MT11-610_k31_TRINITY_DN962_c0_g1_i2.gen
		GN18_k25_TRINITY_DN1418_c0_g1_i3.gen
		QC02-402_k31_TRINITY_DN585_c0_g1_i1.gen
		SP803280_IQUSP_evm.model.unitig_315731.1.gen
		KQ08-2850_k31_TRINITY_DN2185_c0_g1_i2.gen
		SP803280_CTBE_evm.model.SCSP803280_000103592.1.gen
		MS6847_k31_TRINITY_DN38326_c0_g1_i4.gen
		T2_k25_TRINITY_DN25970_c0_g1_i1.gen
		ROC20_k31_TRINITY_DN4531_c0_g1_i1.gen
		KQB09-23137_k31_TRINITY_DN1201_c0_g1_i4.gen
		F1-Bulk-1_k31_TRINITY_DN12858_c0_g2_i6.gen
		Q241_k31_TRINITY_DN5282_c0_g4_i1.gen
		GXU-34140_k31_TRINITY_DN3790_c0_g1_i6.gen
		B1_k31_TRINITY_DN14423_c0_g2_i3.gen
		TUC717_k25_TRINITY_DN2731_c0_g1_i9.gen
		QC02-402_k31_TRINITY_DN18322_c0_g1_i2.gen
		LCP85-384_k31_TRINITY_DN51555_c0_g1_i6.gen
		MS6847_k25_TRINITY_DN12116_c0_g1_i1.gen
		ROC22_k31_TRINITY_DN4023_c19_g2_i3.gen
		FN95-1702_k25_TRINITY_DN5096_c1_g2_i1.gen
		Co8021_k31_TRINITY_DN2918_c0_g1_i5.gen
		CC011940_cc_00036027-RA.gen
		MT11-610_k31_TRINITY_DN7808_c0_g1_i5.gen
		KQB09-20432_k31_TRINITY_DN11936_c0_g3_i3.gen
		ROC26_k25_TRINITY_DN4131_c0_g2_i2.gen
		Co06022_k25_TRINITY_DN14646_c1_g1_i3.gen
		KQB07-24619_k31_TRINITY_DN3542_c0_g2_i2.gen
		SP80-3280_Mattielo_SP803280_c117973_g2_i1.gen
		GT96-167_k31_TRINITY_DN3306_c0_g2_i3.gen
		B2_k31_TRINITY_DN4875_c0_g3_i3.gen
		R570_ASM_Sh10_p009480.gen
		B1_k25_TRINITY_DN12200_c0_g1_i4.gen
		FN95-1702_k31_TRINITY_DN27713_c1_g1_i1.gen
		B2_k31_TRINITY_DN17101_c0_g1_i3.gen
		T2_k25_TRINITY_DN5615_c0_g1_i1.gen
		F1-Bulk-1_k31_TRINITY_DN3045_c0_g1_i5.gen
		CoV92102_k25_TRINITY_DN10118_c0_g2_i2.gen
		CC011940_cc_00000915-RA.gen
		GT96-167_k31_TRINITY_DN3306_c0_g1_i5.gen
		QA02-1009_k25_TRINITY_DN352_c0_g1_i1.gen
		MT11-610_k31_TRINITY_DN19264_c0_g1_i4.gen
		RB72454_k31_TRINITY_DN2899_c0_g1_i8.gen
		ROC22_k31_TRINITY_DN687_c0_g1_i14.gen
		ROC22_k25_TRINITY_DN5523_c0_g1_i1.gen
		MT11-610_k31_TRINITY_DN16423_c1_g1_i2.gen
		MS6847_k25_TRINITY_DN4917_c0_g1_i5.gen
		Co8021_k31_TRINITY_DN6583_c0_g1_i3.gen
		RB72454_k31_TRINITY_DN3114_c0_g2_i2.gen
		Q241_k31_TRINITY_DN23358_c0_g1_i19.gen
		QN05-1509_k25_TRINITY_DN5758_c0_g1_i2.gen
