Names	total	elements
		CoV92102_k25_TRINITY_DN9408_c0_g1_i4.gen
		QBYN04-26041_k25_TRINITY_DN3545_c0_g1_i4.gen
		RB72454_k25_TRINITY_DN54226_c0_g1_i1.gen
		KQB07-24619_k31_TRINITY_DN3147_c0_g1_i17.gen
5000	543	QN05-1509_k25_TRINITY_DN4697_c0_g1_i12.gen
		MS6847_k25_TRINITY_DN4143_c0_g1_i6.gen
		CoV92102_k31_TRINITY_DN17657_c0_g1_i5.gen
		QN05-803_k25_TRINITY_DN7656_c0_g1_i3.gen
		QA02-1009_k25_TRINITY_DN27150_c0_g1_i1.gen
		KQB09-23137_k25_TRINITY_DN16958_c0_g1_i8.gen
		KQB09-20620_k25_TRINITY_DN4181_c2_g1_i5.gen
		KQB08-32953_k31_TRINITY_DN1895_c0_g1_i7.gen
		ROC22_k25_TRINITY_DN23239_c0_g2_i3.gen
		KQ08-2850_k25_TRINITY_DN3899_c1_g1_i4.gen
		KQB08-32953_k31_TRINITY_DN6071_c0_g1_i2.gen
		F1-Bulk-1_k25_TRINITY_DN13706_c0_g1_i2.gen
		QN05-1460_k31_TRINITY_DN3444_c0_g2_i2.gen
		ROC26_k31_TRINITY_DN16978_c0_g2_i1.gen
		QBYN04-26041_k25_TRINITY_DN2603_c0_g1_i19.gen
		ROC26_k25_TRINITY_DN9659_c0_g1_i7.gen
		F1-Bulk-1_k25_TRINITY_DN17032_c0_g1_i1.gen
		KQB08-32953_k31_TRINITY_DN933_c0_g1_i6.gen
		Co06022_k31_TRINITY_DN73052_c0_g1_i1.gen
		QN05-1509_k25_TRINITY_DN3704_c0_g1_i6.gen
		ROC22_k25_TRINITY_DN8169_c0_g1_i2.gen
		QA02-1009_k31_TRINITY_DN2877_c0_g1_i1.gen
		QN05-1460_k25_TRINITY_DN1225_c0_g1_i4.gen
		US851008_k31_TRINITY_DN1362_c0_g1_i1.gen
		GN18_k31_TRINITY_DN1206_c0_g2_i3.gen
		QN05-803_k31_TRINITY_DN34693_c0_g1_i5.gen
		QN05-1460_k31_TRINITY_DN797_c0_g1_i18.gen
		KQB07-23863_k31_TRINITY_DN816_c0_g1_i6.gen
		RB72454_k31_TRINITY_DN6840_c0_g1_i7.gen
		T1_k31_TRINITY_DN6552_c0_g1_i5.gen
		KQB07-24619_k31_TRINITY_DN4104_c0_g1_i2.gen
		ROC22_k31_TRINITY_DN11920_c0_g2_i4.gen
		CP74-2005_k25_TRINITY_DN4854_c0_g1_i11.gen
		QS99-2014_k25_TRINITY_DN197_c0_g1_i1.gen
		KQB08-32953_k31_TRINITY_DN1237_c0_g1_i12.gen
		CP74-2005_k31_TRINITY_DN11752_c0_g1_i5.gen
		GN18_k25_TRINITY_DN19343_c0_g2_i6.gen
		ROC22_k25_TRINITY_DN1120_c5_g1_i1.gen
		KQB07-24739_k25_TRINITY_DN13240_c0_g1_i11.gen
		QA96-1749_k31_TRINITY_DN2569_c0_g1_i2.gen
		CoV92102_k25_TRINITY_DN46517_c0_g1_i5.gen
		LCP85-384_k31_TRINITY_DN17173_c0_g1_i11.gen
		QC02-402_k31_TRINITY_DN76448_c0_g1_i1.gen
		QA96-1749_k31_TRINITY_DN938_c0_g1_i6.gen
		KQB07-23863_k25_TRINITY_DN2490_c0_g2_i1.gen
		CoV92102_k25_TRINITY_DN59812_c0_g1_i5.gen
		CC011940_Sobic.006G204900.1.mrna2.gen
		LCP85-384_k25_TRINITY_DN3302_c0_g1_i4.gen
		CP74-2005_k31_TRINITY_DN24106_c0_g1_i5.gen
		KQB07-24619_k31_TRINITY_DN5023_c0_g3_i1.gen
		MS6847_k25_TRINITY_DN3249_c0_g1_i6.gen
		RB855156_k31_TRINITY_DN9694_c0_g1_i5.gen
		KQ08-2850_k31_TRINITY_DN4785_c0_g1_i1.gen
		KQB08-32953_k31_TRINITY_DN3237_c0_g1_i14.gen
		QA96-1749_k25_TRINITY_DN1333_c0_g1_i10.gen
		QN05-1460_k31_TRINITY_DN2753_c0_g1_i2.gen
		QN05-1509_k31_TRINITY_DN4816_c0_g1_i20.gen
		KQB07-24619_k31_TRINITY_DN2553_c0_g1_i5.gen
		QN05-1509_k25_TRINITY_DN5758_c0_g1_i4.gen
		QN05-1460_k25_TRINITY_DN12787_c0_g1_i11.gen
		T1_k25_TRINITY_DN401_c1_g1_i3.gen
		GN18_k25_TRINITY_DN608_c0_g1_i18.gen
		SP80-3280_Mattielo_SP803280_c117888_g1_i3.gen
		QS99-2014_k31_TRINITY_DN1080_c0_g1_i2.gen
		RB72454_k31_TRINITY_DN2848_c0_g1_i2.gen
		QA02-1009_k25_TRINITY_DN800_c0_g1_i8.gen
		KQB09-20620_k25_TRINITY_DN6456_c3_g1_i1.gen
		Co06022_k31_TRINITY_DN537_c0_g1_i6.gen
		F1-Bulk-2_k25_TRINITY_DN9933_c0_g1_i12.gen
		KQ08-2850_k31_TRINITY_DN2539_c0_g1_i25.gen
		KQB07-23863_k31_TRINITY_DN1237_c0_g1_i3.gen
		B1_k25_TRINITY_DN8962_c0_g1_i9.gen
		RB72454_k25_TRINITY_DN2185_c0_g1_i10.gen
		Co8021_k25_TRINITY_DN10514_c0_g1_i6.gen
		KQB07-24619_k25_TRINITY_DN955_c0_g1_i3.gen
		T2_k31_TRINITY_DN2176_c0_g1_i1.gen
		SP803280_IQUSP_evm.model.uti_cns_0189056.1.gen
		GXU-34176_k31_TRINITY_DN17227_c0_g2_i2.gen
		KQB09-23137_k25_TRINITY_DN18806_c0_g1_i7.gen
		KQB09-23137_k25_TRINITY_DN3950_c0_g1_i3.gen
		QA02-1009_k31_TRINITY_DN1999_c0_g2_i9.gen
		F1-Bulk-1_k25_TRINITY_DN5492_c0_g1_i8.gen
		KQ08-2850_k31_TRINITY_DN2490_c0_g1_i28.gen
		SP80-3280_unmappedk25_TRINITY_DN8103_c0_g2_i1.gen
		GXU-34176_k31_TRINITY_DN14611_c0_g2_i1.gen
		GXU-34176_k25_TRINITY_DN9798_c0_g2_i4.gen
		RB855156_k25_TRINITY_DN12847_c0_g1_i4.gen
		GUC2_k25_TRINITY_DN42871_c0_g1_i1.gen
		Q200_k25_TRINITY_DN11233_c0_g1_i3.gen
		MT11-610_k31_TRINITY_DN26083_c0_g1_i6.gen
		ROC26_k25_TRINITY_DN4654_c0_g1_i1.gen
		QA02-1009_k31_TRINITY_DN2455_c0_g1_i17.gen
		QC02-402_k31_TRINITY_DN505_c0_g2_i1.gen
		Q241_k31_TRINITY_DN585_c0_g1_i3.gen
		KQB09-23137_k31_TRINITY_DN2061_c0_g1_i2.gen
		QN05-1743_k31_TRINITY_DN1386_c0_g1_i7.gen
		F1-Bulk-1_k31_TRINITY_DN6310_c0_g1_i15.gen
		Co06022_k31_TRINITY_DN1639_c0_g1_i9.gen
		GXU-34176_k31_TRINITY_DN49620_c0_g1_i1.gen
		F1-Bulk-2_k31_TRINITY_DN12392_c0_g1_i7.gen
		ROC26_k31_TRINITY_DN13211_c0_g1_i1.gen
		KQB09-20432_k25_TRINITY_DN1914_c0_g1_i22.gen
		F1-Bulk-1_k25_TRINITY_DN5839_c0_g1_i1.gen
		CoV92102_k25_TRINITY_DN14142_c0_g1_i2.gen
		ROC20_k25_TRINITY_DN1562_c0_g1_i4.gen
		QA96-1749_k25_TRINITY_DN5028_c2_g1_i2.gen
		Co8021_k31_TRINITY_DN1322_c0_g1_i1.gen
		ROC20_k25_TRINITY_DN6041_c0_g1_i2.gen
		KQB09-23137_k25_TRINITY_DN15050_c0_g1_i3.gen
		RB855156_k25_TRINITY_DN8366_c0_g1_i2.gen
		Co8021_k31_TRINITY_DN18321_c0_g1_i4.gen
		R570_BAC_Sh_251G08_p000030.gen
		QS99-2014_k31_TRINITY_DN4287_c0_g1_i12.gen
		ROC22_k31_TRINITY_DN10314_c0_g2_i8.gen
		KQ08-2850_k25_TRINITY_DN3949_c0_g1_i9.gen
		Q200_k31_TRINITY_DN3059_c0_g1_i2.gen
		KQB09-20432_k25_TRINITY_DN8495_c0_g1_i1.gen
		Q200_k31_TRINITY_DN4276_c0_g1_i21.gen
		GUC2_k25_TRINITY_DN2097_c0_g1_i2.gen
		Q200_k25_TRINITY_DN38241_c0_g1_i5.gen
		KQB09-23137_k25_TRINITY_DN11907_c0_g1_i3.gen
		MS6847_k31_TRINITY_DN3275_c0_g1_i14.gen
		KQB09-23137_k31_TRINITY_DN1938_c0_g1_i13.gen
		KQ08-2850_k25_TRINITY_DN3861_c0_g2_i7.gen
		QA02-1009_k31_TRINITY_DN2022_c0_g2_i13.gen
		ROC26_k25_TRINITY_DN4713_c0_g1_i2.gen
		QN05-1743_k25_TRINITY_DN8442_c1_g2_i2.gen
		KQ08-2850_k25_TRINITY_DN12064_c0_g1_i3.gen
		KQB07-23990_k25_TRINITY_DN23352_c0_g1_i10.gen
		Co06022_k25_TRINITY_DN18912_c0_g1_i4.gen
		ROC20_k25_TRINITY_DN15630_c0_g1_i1.gen
		QN05-1509_k25_TRINITY_DN3576_c0_g1_i4.gen
		MT11-610_k31_TRINITY_DN8736_c0_g1_i3.gen
		KQB07-24739_k31_TRINITY_DN5449_c0_g1_i1.gen
		MT11-610_k31_TRINITY_DN8143_c0_g1_i1.gen
		LCP85-384_k31_TRINITY_DN4617_c0_g1_i7.gen
		QN05-1460_k31_TRINITY_DN1940_c0_g1_i13.gen
		LCP85-384_k25_TRINITY_DN628_c0_g1_i1.gen
		QN05-1460_k25_TRINITY_DN13261_c0_g1_i2.gen
		QS99-2014_k31_TRINITY_DN781_c0_g1_i9.gen
		KQB07-24619_k31_TRINITY_DN2044_c0_g1_i6.gen
		MS6847_k31_TRINITY_DN9305_c0_g1_i1.gen
		QN05-1743_k25_TRINITY_DN5633_c0_g1_i6.gen
		KQB07-24739_k31_TRINITY_DN1470_c0_g1_i3.gen
		QN05-1509_k31_TRINITY_DN793_c0_g1_i8.gen
		CP74-2005_k31_TRINITY_DN42551_c0_g1_i2.gen
		Q241_k25_TRINITY_DN7741_c0_g1_i15.gen
		QN05-1509_k31_TRINITY_DN3695_c0_g1_i14.gen
		KQ08-2850_k25_TRINITY_DN4366_c0_g1_i4.gen
		ROC22_k31_TRINITY_DN11123_c0_g1_i9.gen
		F1-Bulk-1_k31_TRINITY_DN4628_c0_g1_i1.gen
		GXU-34140_k31_TRINITY_DN3790_c0_g1_i6.gen
		QN05-1743_k31_TRINITY_DN1779_c0_g1_i9.gen
		T2_k25_TRINITY_DN24801_c0_g1_i1.gen
		T1_k31_TRINITY_DN5397_c0_g1_i4.gen
		US851008_k31_TRINITY_DN6874_c0_g2_i1.gen
		KQB07-23863_k25_TRINITY_DN1336_c0_g1_i2.gen
		SP80-3280_Mattielo_SP803280_c102744_g1_i1.gen
		QN05-803_k25_TRINITY_DN2604_c0_g1_i18.gen
		QC02-402_k25_TRINITY_DN3164_c0_g1_i9.gen
		Q241_k31_TRINITY_DN3406_c0_g1_i4.gen
		Q200_k25_TRINITY_DN2662_c0_g1_i6.gen
		R570_BAC_Sh_205B14_p000070.gen
		KQB07-24619_k31_TRINITY_DN3542_c0_g2_i2.gen
		QN05-1743_k25_TRINITY_DN2530_c0_g1_i5.gen
		KQB09-20432_k25_TRINITY_DN8258_c0_g1_i1.gen
		GUC10_k31_TRINITY_DN69306_c0_g1_i1.gen
		MT11-610_k31_TRINITY_DN12389_c0_g1_i6.gen
		KQ08-2850_k31_TRINITY_DN7786_c1_g1_i3.gen
		CoV92102_k31_TRINITY_DN10197_c0_g2_i2.gen
		ROC22_k31_TRINITY_DN39973_c0_g1_i1.gen
		F1-Bulk-1_k31_TRINITY_DN3045_c0_g1_i5.gen
		KQB08-32953_k31_TRINITY_DN51298_c0_g1_i9.gen
		ROC22_k25_TRINITY_DN20058_c0_g1_i1.gen
		ROC22_k25_TRINITY_DN19284_c0_g1_i13.gen
		ROC26_k31_TRINITY_DN3627_c0_g2_i2.gen
		QN05-1743_k31_TRINITY_DN876_c0_g2_i5.gen
		MT11-610_k31_TRINITY_DN19264_c0_g1_i4.gen
		KQB09-23137_k31_TRINITY_DN5586_c0_g1_i4.gen
		B1_k31_TRINITY_DN656_c0_g1_i3.gen
		QA96-1749_k31_TRINITY_DN3470_c0_g1_i21.gen
		GUC10_k25_TRINITY_DN20123_c0_g1_i1.gen
		QS99-2014_k25_TRINITY_DN1935_c1_g1_i5.gen
		GT96-167_k25_TRINITY_DN8927_c0_g2_i4.gen
		T2_k31_TRINITY_DN16827_c0_g1_i2.gen
		QBYN04-26041_k25_TRINITY_DN63751_c0_g1_i1.gen
		QN05-1743_k31_TRINITY_DN1732_c0_g1_i8.gen
		QN05-803_k25_TRINITY_DN50771_c0_g1_i1.gen
		GT96-167_k25_TRINITY_DN22462_c0_g1_i3.gen
		QA96-1749_k31_TRINITY_DN15159_c0_g1_i2.gen
		F1-Bulk-2_k25_TRINITY_DN11250_c0_g1_i15.gen
		KQB09-23137_k31_TRINITY_DN590_c0_g2_i9.gen
		Q200_k31_TRINITY_DN422_c0_g1_i17.gen
		QN05-803_k31_TRINITY_DN1426_c0_g1_i1.gen
		QC02-402_k25_TRINITY_DN1126_c2_g1_i1.gen
		GT96-167_k25_TRINITY_DN4582_c0_g1_i1.gen
		T1_k25_TRINITY_DN4530_c0_g1_i3.gen
		KQB07-24739_k31_TRINITY_DN800_c1_g1_i4.gen
		QA02-1009_k25_TRINITY_DN2428_c0_g1_i12.gen
		QA02-1009_k25_TRINITY_DN6423_c0_g1_i3.gen
		QA02-1009_k25_TRINITY_DN2554_c0_g1_i5.gen
		KQB07-24619_k25_TRINITY_DN8707_c1_g1_i2.gen
		CC011940_Sobic.009G109200.1.mrna2.gen
		QN05-1460_k25_TRINITY_DN1834_c0_g1_i23.gen
		FN95-1702_k31_TRINITY_DN6832_c0_g1_i3.gen
		QA02-1009_k25_TRINITY_DN5740_c0_g1_i7.gen
		KQ08-2850_k25_TRINITY_DN31440_c0_g1_i4.gen
		LCP85-384_k31_TRINITY_DN33725_c0_g1_i7.gen
		Q200_k25_TRINITY_DN6202_c0_g1_i6.gen
		GXU-34140_k25_TRINITY_DN3135_c0_g3_i3.gen
		Q241_k31_TRINITY_DN3683_c0_g2_i4.gen
		QN05-1743_k25_TRINITY_DN1220_c0_g1_i6.gen
		TUC717_k31_TRINITY_DN1262_c0_g1_i16.gen
