Q200_k31_TRINITY_DN6245_c0_g1_i3,Sobic.005G015900.1,NA,Zm00001d025585_T001
MT11-610_k31_TRINITY_DN6207_c0_g1_i9,Sobic.008G140700.1,NA,Zm00001d030774_T020
LCP85-384_k31_TRINITY_DN3567_c0_g2_i7,Sobic.001G194900.1,NA,Zm00001d032455_T001
F1-Bulk-1_k31_TRINITY_DN3007_c0_g1_i2,Sobic.001G261545.1,NA,Zm00001d030381_T001
KQ08-2850_k31_TRINITY_DN1284_c0_g1_i11,Sobic.010G120300.1,NA,Zm00001d014524_T009
QN05-1460_k25_TRINITY_DN5782_c0_g1_i3,Sobic.009G138000.1,NA,Zm00001d010269_T001
MT11-610_k31_TRINITY_DN6844_c0_g1_i18,Sobic.004G279700.1,NA,Zm00001d051475_T002
CoV92102_k25_TRINITY_DN24656_c0_g1_i4,Sobic.003G312700.1,NA,Zm00001d012643_T007
T2_k31_TRINITY_DN6392_c0_g2_i1,Sobic.003G252500.1,NA,Zm00001d043909_T022
GXU-34140_k25_TRINITY_DN13089_c0_g1_i1,Sobic.010G088700.1,NA,Zm00001d037205_T001
QN05-1743_k25_TRINITY_DN2147_c0_g1_i4,Sobic.001G120300.1,NA,Zm00001d033684_T002
MS6847_k25_TRINITY_DN10231_c0_g1_i3,Sobic.004G188500.1,NA,Zm00001d050851_T001
QN05-1743_k25_TRINITY_DN15222_c0_g1_i3,Sobic.003G089100.1,NA,Zm00001d008517_T002
T2_k31_TRINITY_DN3452_c0_g3_i3,Sobic.004G357600.2,NA,Zm00001d051837_T002
CP74-2005_k31_TRINITY_DN15714_c1_g1_i1,Sobic.005G095700.6,NA,Zm00001d052988_T008
QA02-1009_k25_TRINITY_DN11765_c0_g2_i1,Sobic.002G030200.1,NA,Zm00001d007857_T001
CP74-2005_k25_TRINITY_DN7302_c0_g1_i1,Sobic.001G119900.1,NA,Zm00001d033704_T001
T1_k25_TRINITY_DN9381_c0_g1_i7,Sobic.004G007900.4,NA,Zm00001d014967_T020
ROC22_k25_TRINITY_DN5471_c0_g1_i5,Sobic.001G423700.4,NA,Zm00001d028579_T008
Co8021_k31_TRINITY_DN54103_c0_g1_i18,Sobic.004G023700.2,NA,Zm00001d015086_T006
RB855156_k25_TRINITY_DN2538_c0_g2_i11,Sobic.002G295500.3,NA,Zm00001d021384_T002
KQ08-2850_k31_TRINITY_DN14626_c1_g1_i5,Sobic.003G052400.1,NA,Zm00001d039686_T002
LCP85-384_k25_TRINITY_DN12543_c0_g1_i14,Sobic.001G439800.1,NA,Zm00001d028391_T001
FN95-1702_k31_TRINITY_DN4181_c0_g1_i4,Sobic.001G207400.1,NA,Zm00001d032598_T001
GT96-167_k31_TRINITY_DN511_c0_g1_i4,Sobic.001G164200.3,NA,Zm00001d013720_T002
QA96-1749_k25_TRINITY_DN6144_c0_g1_i6,Sobic.002G024400.1,NA,NA
GXU-34176_k25_TRINITY_DN10132_c0_g2_i6,Sobic.003G282000.6,NA,Zm00001d043592_T004
SP80-3280_unmappedk31_TRINITY_DN527_c0_g2_i5,Sobic.004G285800.1,NA,Zm00001d017557_T001
